trainer update:44                                 :9939.6 Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :9979.6 Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :9951.6 Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :9961.6 Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :9973.6 Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :9987.6 Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :9999.6 Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10019.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10025.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10021.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10029.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10031.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10021.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10021.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10021.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10013.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10021.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10021.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10015.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10023.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10017.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10049.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10051.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10025.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10023.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10023.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10021.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10023.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10017.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10033.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10017.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10023.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10017.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10023.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10017.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10049.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10025.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10015.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10027.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10011.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10013.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10013.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10019.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10019.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10011.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10019.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10019.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10013.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10027.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :9991.6 Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10013.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10019.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10023.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10011.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10011.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10019.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10019.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10029.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10019.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10013.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10023.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
trainer update:44                                 :10019.6Mb         gpu_profile(frame=sys._getframe(), event='line', arg=None)
