Timestamp,Counts (55)
2021-11-20T10_02_00,19
2021-11-20T10_17_00,24
2021-11-20T10_32_00,25
2021-11-20T10_47_00,20
2021-11-20T11_02_00,20
2021-11-20T11_17_00,20
2021-11-20T11_32_00,21
2021-11-20T11_47_00,26
2021-11-20T12_02_00,28
2021-11-20T12_17_00,32
2021-11-20T12_32_00,34
2021-11-20T12_47_00,37
2021-11-20T13_02_00,33
2021-11-20T13_17_00,37
2021-11-20T13_32_00,34
2021-11-20T13_47_00,32
2021-11-20T14_02_00,27
2021-11-20T14_17_00,27
2021-11-20T14_32_00,25
2021-11-20T14_47_00,30
2021-11-20T15_02_00,31
2021-11-20T15_17_00,30
2021-11-20T15_32_00,32
2021-11-20T15_47_00,22
2021-11-20T16_02_00,28
2021-11-20T16_17_00,29
2021-11-20T16_32_00,28
2021-11-20T16_47_00,17
2021-11-20T17_02_00,18
2021-11-20T17_17_00,16
2021-11-20T17_32_00,14
2021-11-20T17_47_00,24
2021-11-20T18_02_00,25
2021-11-20T18_17_00,2
2021-11-20T18_32_00,22
2021-11-20T18_47_00,24
2021-11-20T19_02_00,25
2021-11-20T19_17_00,20
2021-11-20T19_32_00,22
2021-11-20T19_47_00,21
2021-11-20T20_02_00,16
2021-11-20T20_17_00,11
2021-11-20T20_32_00,9
2021-11-20T20_47_00,13
2021-11-20T21_02_00,13
2021-11-20T21_17_00,10
2021-11-20T21_32_00,10
2021-11-20T21_47_00,10
2021-11-20T22_02_00,9
2021-11-20T22_17_00,9
2021-11-20T22_32_00,9
2021-11-20T22_47_00,7
2021-11-20T23_02_00,7
2021-11-20T23_17_00,8
2021-11-20T23_32_00,10
2021-11-20T23_47_00,10
2021-11-21T00_02_00,10
2021-11-21T00_17_00,8
2021-11-21T00_32_00,7
2021-11-21T00_47_00,7
2021-11-21T01_02_00,6
2021-11-21T01_17_00,3
2021-11-21T01_32_00,1
2021-11-21T01_47_00,1
2021-11-21T02_02_00,1
2021-11-21T02_17_00,1
2021-11-21T02_32_00,1
2021-11-21T02_47_00,2
2021-11-21T03_02_00,2
2021-11-21T03_17_00,2
2021-11-21T03_32_00,2
2021-11-21T03_47_00,2
2021-11-21T04_02_00,1
2021-11-21T04_17_00,2
2021-11-21T04_32_00,4
2021-11-21T04_47_00,5
2021-11-21T05_02_00,4
2021-11-21T05_17_00,4
2021-11-21T05_32_00,4
2021-11-21T05_47_00,4
2021-11-21T06_02_00,5
2021-11-21T06_17_00,10
2021-11-21T06_32_00,10
2021-11-21T06_47_00,10
2021-11-21T07_02_00,9
2021-11-21T07_17_00,9
2021-11-21T07_32_00,9
2021-11-21T07_47_00,7
2021-11-21T08_02_00,4
2021-11-21T08_17_00,2
2021-11-21T08_32_00,5
2021-11-21T08_47_00,16
2021-11-21T09_02_00,22
2021-11-21T09_17_00,21
2021-11-21T09_32_00,21
2021-11-21T09_47_00,22
2021-11-21T10_02_00,23
2021-11-21T10_17_00,28
2021-11-21T10_32_00,31
2021-11-21T10_47_00,30
2021-11-21T11_02_00,33
2021-11-21T11_17_00,35
2021-11-21T11_32_00,36
2021-11-21T11_47_00,35
2021-11-21T12_02_00,32
2021-11-21T12_17_00,31
2021-11-21T12_32_00,31
2021-11-21T12_47_00,33
2021-11-21T13_02_00,38
2021-11-21T13_17_00,36
2021-11-21T13_32_00,35
2021-11-21T13_47_00,35
2021-11-21T14_02_00,36
2021-11-21T14_17_00,38
2021-11-21T14_32_00,37
2021-11-21T14_47_00,33
2021-11-21T15_02_00,38
2021-11-21T15_17_00,34
2021-11-21T15_32_00,32
2021-11-21T15_47_00,31
2021-11-21T16_02_00,27
2021-11-21T16_17_00,32
2021-11-21T16_32_00,29
2021-11-21T16_47_00,27
2021-11-21T17_02_00,25
2021-11-21T17_17_00,25
2021-11-21T17_32_00,28
2021-11-21T17_47_00,28
2021-11-21T18_02_00,33
2021-11-21T18_17_00,32
2021-11-21T18_32_00,32
2021-11-21T18_47_00,34
2021-11-21T19_02_00,33
2021-11-21T19_17_00,29
2021-11-21T19_32_00,29
2021-11-21T19_47_00,29
2021-11-21T20_02_00,33
2021-11-21T20_17_00,38
2021-11-21T20_32_00,45
2021-11-21T20_47_00,44
2021-11-21T21_02_00,44
2021-11-21T21_17_00,43
2021-11-21T21_32_00,34
2021-11-21T21_47_00,39
2021-11-21T22_02_00,39
2021-11-21T22_17_00,33
2021-11-21T22_32_00,28
2021-11-21T22_47_00,32
2021-11-21T23_02_00,32
2021-11-21T23_17_00,32
2021-11-21T23_32_00,27
2021-11-21T23_47_00,28
2021-11-22T00_02_00,19
2021-11-22T00_17_00,16
2021-11-22T00_32_00,16
2021-11-22T00_47_00,14
2021-11-22T01_02_00,10
2021-11-22T01_17_00,6
2021-11-22T01_32_00,7
2021-11-22T01_47_00,6
2021-11-22T02_02_00,7
2021-11-22T02_17_00,8
2021-11-22T02_32_00,6
2021-11-22T02_47_00,6
2021-11-22T03_02_00,4
2021-11-22T03_17_00,4
2021-11-22T03_32_00,4
2021-11-22T03_47_00,6
2021-11-22T04_02_00,9
2021-11-22T04_17_00,10
2021-11-22T04_32_00,16
2021-11-22T04_47_00,18
2021-11-22T05_02_00,16
2021-11-22T05_17_00,16
2021-11-22T05_32_00,15
2021-11-22T05_47_00,17
2021-11-22T06_02_00,17
2021-11-22T06_17_00,17
2021-11-22T06_32_00,21
2021-11-22T06_47_00,23
2021-11-22T07_02_00,23
2021-11-22T07_17_00,19
2021-11-22T07_32_00,16
2021-11-22T07_47_00,22
2021-11-22T08_02_00,24
2021-11-22T08_17_00,29
2021-11-22T08_32_00,29
2021-11-22T08_47_00,27
2021-11-22T09_02_00,28
2021-11-22T09_17_00,26
2021-11-22T09_32_00,23
2021-11-22T09_47_00,24
2021-11-22T10_02_00,23
2021-11-22T10_17_00,22
2021-11-22T10_32_00,26
2021-11-22T10_47_00,26
2021-11-22T11_02_00,26
2021-11-22T11_17_00,25
2021-11-22T11_32_00,27
2021-11-22T11_47_00,31
2021-11-22T12_02_00,29
2021-11-22T12_17_00,25
2021-11-22T12_32_00,29
2021-11-22T12_47_00,32
2021-11-22T13_02_00,31
2021-11-22T13_17_00,37
2021-11-22T13_32_00,36
2021-11-22T13_47_00,32
2021-11-22T14_02_00,29
2021-11-22T14_17_00,33
2021-11-22T14_32_00,34
2021-11-22T14_47_00,36
2021-11-22T15_02_00,33
2021-11-22T15_17_00,38
2021-11-22T15_32_00,33
2021-11-22T15_47_00,34
2021-11-22T16_02_00,31
2021-11-22T16_17_00,30
2021-11-22T16_32_00,27
2021-11-22T16_47_00,29
2021-11-22T17_02_00,29
2021-11-22T17_17_00,26
2021-11-22T17_32_00,26
2021-11-22T17_47_00,29
2021-11-22T18_02_00,31
2021-11-22T18_17_00,31
2021-11-22T18_32_00,32
2021-11-22T18_47_00,37
2021-11-22T19_02_00,31
2021-11-22T19_17_00,17
2021-11-22T19_32_00,26
2021-11-22T19_47_00,29
2021-11-22T20_02_00,31
2021-11-22T20_17_00,24
2021-11-22T20_32_00,24
2021-11-22T20_47_00,25
2021-11-22T21_02_00,24
2021-11-22T21_17_00,21
2021-11-22T21_32_00,21
2021-11-22T21_47_00,22
2021-11-22T22_02_00,22
2021-11-22T22_17_00,19
2021-11-22T22_32_00,21
2021-11-22T22_47_00,21
2021-11-22T23_02_00,15
2021-11-22T23_17_00,16
2021-11-22T23_32_00,17
2021-11-22T23_47_00,21
2021-11-23T00_02_00,20
2021-11-23T00_17_00,20
2021-11-23T00_32_00,20
2021-11-23T00_47_00,14
2021-11-23T01_02_00,11
2021-11-23T01_17_00,10
2021-11-23T01_32_00,3
2021-11-23T01_47_00,4
2021-11-23T02_02_00,4
2021-11-23T02_17_00,4
2021-11-23T02_32_00,3
2021-11-23T02_47_00,3
2021-11-23T03_02_00,4
2021-11-23T03_17_00,3
2021-11-23T03_32_00,4
2021-11-23T03_47_00,5
2021-11-23T04_02_00,4
2021-11-23T04_17_00,3
2021-11-23T04_32_00,3
2021-11-23T04_47_00,3
2021-11-23T05_02_00,2
2021-11-23T05_17_00,3
2021-11-23T05_32_00,5
2021-11-23T05_47_00,5
2021-11-23T06_02_00,6
2021-11-23T06_17_00,7
2021-11-23T06_32_00,11
2021-11-23T06_47_00,11
2021-11-23T07_02_00,4
2021-11-23T07_17_00,3
2021-11-23T07_32_00,2
2021-11-23T07_47_00,7
2021-11-23T08_02_00,7
2021-11-23T08_17_00,13
2021-11-23T08_32_00,19
2021-11-23T08_47_00,18
2021-11-23T09_02_00,18
2021-11-23T09_17_00,18
2021-11-23T09_32_00,20
2021-11-23T09_47_00,17
2021-11-23T10_02_00,18
2021-11-23T10_17_00,19
2021-11-23T10_32_00,19
2021-11-23T10_47_00,19
2021-11-23T11_02_00,19
2021-11-23T11_17_00,19
2021-11-23T11_32_00,10
2021-11-23T11_47_00,7
2021-11-23T19_17_00,3
2021-11-23T19_32_00,2
2021-11-23T20_17_00,2
2021-11-23T20_32_00,1
2021-11-23T20_47_00,2
2021-11-23T21_02_00,2
2021-11-23T21_17_00,1
2021-11-23T21_32_00,1
2021-11-24T01_47_00,1
2021-11-24T02_02_00,1
2021-11-24T02_17_00,1
2021-11-24T02_32_00,1
2021-11-24T03_02_00,1
2021-11-24T03_17_00,6
2021-11-24T03_32_00,6
2021-11-24T04_02_00,2
2021-11-24T04_17_00,1
2021-11-24T05_32_00,1
2021-11-24T06_02_00,2
2021-11-24T06_17_00,3
2021-11-24T08_17_00,5
2021-11-24T08_32_00,6
2021-11-24T08_47_00,8
2021-11-24T09_02_00,10
2021-11-24T09_17_00,5
2021-11-24T09_32_00,9
2021-11-24T18_17_00,21
2021-11-24T18_32_00,21
2021-11-24T18_47_00,25
2021-11-24T19_02_00,28
2021-11-24T19_17_00,28
2021-11-24T19_32_00,23
2021-11-24T19_47_00,21
2021-11-24T20_02_00,26
2021-11-24T20_17_00,25
2021-11-24T20_32_00,10
