Timestamp,Counts (50%)
2021-11-20T10_02_26,22
2021-11-20T10_17_26,27
2021-11-20T10_32_26,26
2021-11-20T10_47_26,21
2021-11-20T11_02_26,20
2021-11-20T11_17_26,23
2021-11-20T11_32_26,22
2021-11-20T11_47_26,30
2021-11-20T12_02_26,35
2021-11-20T12_17_26,34
2021-11-20T12_32_26,37
2021-11-20T12_47_26,39
2021-11-20T13_02_26,37
2021-11-20T13_17_26,36
2021-11-20T13_32_26,35
2021-11-20T13_47_26,34
2021-11-20T14_02_26,28
2021-11-20T14_17_26,29
2021-11-20T14_32_26,27
2021-11-20T14_47_26,37
2021-11-20T15_02_26,39
2021-11-20T15_17_26,37
2021-11-20T15_32_26,42
2021-11-20T15_47_26,31
2021-11-20T16_02_26,34
2021-11-20T16_17_26,35
2021-11-20T16_32_26,34
2021-11-20T16_47_26,24
2021-11-20T17_02_26,24
2021-11-20T17_17_26,22
2021-11-20T17_32_26,17
2021-11-20T17_47_26,27
2021-11-20T18_02_26,26
2021-11-20T18_17_26,3
2021-11-20T18_32_26,26
2021-11-20T18_47_26,26
2021-11-20T19_02_26,26
2021-11-20T19_17_26,22
2021-11-20T19_32_26,24
2021-11-20T19_47_26,22
2021-11-20T20_02_26,18
2021-11-20T20_17_26,12
2021-11-20T20_32_26,10
2021-11-20T20_47_26,14
2021-11-20T21_02_26,14
2021-11-20T21_17_26,11
2021-11-20T21_32_26,10
2021-11-20T21_47_26,11
2021-11-20T22_02_26,10
2021-11-20T22_17_26,11
2021-11-20T22_32_26,10
2021-11-20T22_47_26,9
2021-11-20T23_02_26,9
2021-11-20T23_17_26,10
2021-11-20T23_32_26,9
2021-11-20T23_47_26,10
2021-11-21T00_02_26,10
2021-11-21T00_17_26,8
2021-11-21T00_32_26,9
2021-11-21T00_47_26,9
2021-11-21T01_02_26,8
2021-11-21T01_17_26,7
2021-11-21T01_32_26,9
2021-11-21T01_47_26,10
2021-11-21T02_02_26,9
2021-11-21T02_17_26,7
2021-11-21T02_32_26,8
2021-11-21T02_47_26,9
2021-11-21T03_02_26,10
2021-11-21T03_17_26,12
2021-11-21T03_32_26,13
2021-11-21T03_47_26,10
2021-11-21T04_02_26,9
2021-11-21T04_17_26,9
2021-11-21T04_32_26,11
2021-11-21T04_47_26,11
2021-11-21T05_02_26,11
2021-11-21T05_17_26,12
2021-11-21T05_32_26,11
2021-11-21T05_47_26,12
2021-11-21T06_02_26,13
2021-11-21T06_17_26,31
2021-11-21T06_32_26,37
2021-11-21T06_47_26,35
2021-11-21T07_02_26,25
2021-11-21T07_17_26,21
2021-11-21T07_32_26,20
2021-11-21T07_47_26,19
2021-11-21T08_02_26,14
2021-11-21T08_17_26,14
2021-11-21T08_32_26,16
2021-11-21T08_47_26,25
2021-11-21T09_02_26,25
2021-11-21T09_17_26,26
2021-11-21T09_32_26,27
2021-11-21T09_47_26,27
2021-11-21T10_02_26,29
2021-11-21T10_17_26,31
2021-11-21T10_32_26,34
2021-11-21T10_47_26,36
2021-11-21T11_02_26,38
2021-11-21T11_17_26,37
2021-11-21T11_32_26,37
2021-11-21T11_47_26,37
2021-11-21T12_02_26,34
2021-11-21T12_17_26,33
2021-11-21T12_32_26,36
2021-11-21T12_47_26,40
2021-11-21T13_02_26,40
2021-11-21T13_17_26,40
2021-11-21T13_32_26,38
2021-11-21T13_47_27,39
2021-11-21T14_02_27,38
2021-11-21T14_17_27,38
2021-11-21T14_32_27,37
2021-11-21T14_47_27,37
2021-11-21T15_02_27,43
2021-11-21T15_17_27,39
2021-11-21T15_32_27,39
2021-11-21T15_47_27,36
2021-11-21T16_02_27,31
2021-11-21T16_17_27,33
2021-11-21T16_32_27,34
2021-11-21T16_47_27,31
2021-11-21T17_02_27,28
2021-11-21T17_17_27,29
2021-11-21T17_32_27,33
2021-11-21T17_47_27,33
2021-11-21T18_02_27,36
2021-11-21T18_17_27,38
2021-11-21T18_32_27,40
2021-11-21T18_47_27,39
2021-11-21T19_02_27,44
2021-11-21T19_17_27,43
2021-11-21T19_32_27,36
2021-11-21T19_47_27,49
2021-11-21T20_02_27,54
2021-11-21T20_17_27,56
2021-11-21T20_32_27,56
2021-11-21T20_47_27,56
2021-11-21T21_02_27,61
2021-11-21T21_17_27,59
2021-11-21T21_32_27,52
2021-11-21T21_47_27,55
2021-11-21T22_02_27,52
2021-11-21T22_17_27,44
2021-11-21T22_32_27,46
2021-11-21T22_47_27,43
2021-11-21T23_02_27,47
2021-11-21T23_17_27,41
2021-11-21T23_32_27,36
2021-11-21T23_47_27,31
2021-11-22T00_02_27,25
2021-11-22T00_17_27,26
2021-11-22T00_32_27,29
2021-11-22T00_47_27,27
2021-11-22T01_02_27,27
2021-11-22T01_17_27,24
2021-11-22T01_32_27,21
2021-11-22T01_47_27,22
2021-11-22T02_02_27,23
2021-11-22T02_17_27,21
2021-11-22T02_32_27,22
2021-11-22T02_47_27,24
2021-11-22T03_02_27,24
2021-11-22T03_17_27,31
2021-11-22T03_32_27,34
2021-11-22T03_47_27,37
2021-11-22T04_02_27,37
2021-11-22T04_17_27,38
2021-11-22T04_32_27,24
2021-11-22T04_47_27,22
2021-11-22T05_02_27,19
2021-11-22T05_17_27,31
2021-11-22T05_32_27,34
2021-11-22T05_47_27,44
2021-11-22T06_02_27,54
2021-11-22T06_17_27,53
2021-11-22T06_32_27,52
2021-11-22T06_47_27,58
2021-11-22T07_02_27,53
2021-11-22T07_17_27,44
2021-11-22T07_32_27,31
2021-11-22T07_47_27,34
2021-11-22T08_02_27,32
2021-11-22T08_17_27,33
2021-11-22T08_32_27,32
2021-11-22T08_47_27,32
2021-11-22T09_02_27,28
2021-11-22T09_17_27,24
2021-11-22T09_32_27,26
2021-11-22T09_47_27,28
2021-11-22T10_02_27,28
2021-11-22T10_17_27,25
2021-11-22T10_32_27,28
2021-11-22T10_47_28,30
2021-11-22T11_02_28,31
2021-11-22T11_17_28,31
2021-11-22T11_32_28,34
2021-11-22T11_47_28,39
2021-11-22T12_02_28,36
2021-11-22T12_17_28,40
2021-11-22T12_32_28,40
2021-11-22T12_47_28,42
2021-11-22T13_02_28,37
2021-11-22T13_17_28,40
2021-11-22T13_32_28,38
2021-11-22T13_47_28,36
2021-11-22T14_02_28,35
2021-11-22T14_17_28,39
2021-11-22T14_32_28,38
2021-11-22T14_47_28,40
2021-11-22T15_02_28,38
2021-11-22T15_17_28,38
2021-11-22T15_32_28,35
2021-11-22T15_47_28,36
2021-11-22T16_02_28,32
2021-11-22T16_17_28,33
2021-11-22T16_32_28,28
2021-11-22T16_47_28,33
2021-11-22T17_02_28,34
2021-11-22T17_17_28,30
2021-11-22T17_32_28,29
2021-11-22T17_47_28,29
2021-11-22T18_02_28,31
2021-11-22T18_17_28,32
2021-11-22T18_32_28,36
2021-11-22T18_47_28,43
2021-11-22T19_02_28,38
2021-11-22T19_17_28,20
2021-11-22T19_32_28,25
2021-11-22T19_47_28,30
2021-11-22T20_02_28,33
2021-11-22T20_17_28,28
2021-11-22T20_32_28,27
2021-11-22T20_47_28,26
2021-11-22T21_02_28,26
2021-11-22T21_17_28,21
2021-11-22T21_32_28,23
2021-11-22T21_47_28,25
2021-11-22T22_02_28,23
2021-11-22T22_17_28,18
2021-11-22T22_32_28,18
2021-11-22T22_47_28,17
2021-11-22T23_02_28,15
2021-11-22T23_17_28,17
2021-11-22T23_32_28,15
2021-11-22T23_47_28,22
2021-11-23T00_02_28,22
2021-11-23T00_17_28,22
2021-11-23T00_32_28,20
2021-11-23T00_47_28,17
2021-11-23T01_02_28,15
2021-11-23T01_17_28,12
2021-11-23T01_32_28,8
2021-11-23T01_47_28,11
2021-11-23T02_02_28,15
2021-11-23T02_17_28,15
2021-11-23T02_32_28,14
2021-11-23T02_47_28,11
2021-11-23T03_02_28,9
2021-11-23T03_17_28,10
2021-11-23T03_32_28,10
2021-11-23T03_47_28,11
2021-11-23T04_02_28,12
2021-11-23T04_17_28,14
2021-11-23T04_32_28,14
2021-11-23T04_47_28,14
2021-11-23T05_02_28,13
2021-11-23T05_17_28,14
2021-11-23T05_32_28,13
2021-11-23T05_47_28,13
2021-11-23T06_02_28,12
2021-11-23T06_17_28,15
2021-11-23T06_32_28,14
2021-11-23T06_47_28,16
2021-11-23T07_02_28,17
2021-11-23T07_17_28,20
2021-11-23T07_32_28,17
2021-11-23T07_47_28,18
2021-11-23T08_02_28,17
2021-11-23T08_17_28,18
2021-11-23T08_32_28,18
2021-11-23T08_47_28,18
2021-11-23T09_02_28,18
2021-11-23T09_17_28,20
2021-11-23T09_32_28,21
2021-11-23T09_47_28,20
2021-11-23T10_02_28,21
2021-11-23T10_17_29,22
2021-11-23T10_32_29,21
2021-11-23T10_47_29,18
2021-11-23T11_02_29,21
2021-11-23T11_17_29,20
2021-11-23T11_32_29,11
2021-11-23T11_47_29,10
2021-11-23T19_17_29,5
2021-11-23T19_32_29,3
2021-11-23T20_17_29,2
2021-11-23T20_32_29,1
2021-11-23T20_47_29,3
2021-11-23T21_02_29,4
2021-11-23T21_17_29,2
2021-11-23T21_32_29,1
2021-11-23T23_47_29,1
2021-11-24T01_47_29,1
2021-11-24T02_02_29,1
2021-11-24T02_17_29,1
2021-11-24T02_32_29,1
2021-11-24T03_02_29,1
2021-11-24T03_17_29,8
2021-11-24T03_32_29,10
2021-11-24T04_02_29,5
2021-11-24T04_17_29,5
2021-11-24T05_32_29,4
2021-11-24T05_47_29,1
2021-11-24T06_02_29,5
2021-11-24T06_17_29,5
2021-11-24T08_17_29,7
2021-11-24T08_32_29,8
2021-11-24T08_47_29,14
2021-11-24T09_02_29,16
2021-11-24T09_17_29,10
2021-11-24T09_32_29,13
2021-11-24T18_17_29,22
2021-11-24T18_32_29,22
2021-11-24T18_47_29,25
2021-11-24T19_02_29,28
2021-11-24T19_17_29,28
2021-11-24T19_32_29,23
2021-11-24T19_47_29,19
2021-11-24T20_02_29,25
2021-11-24T20_17_29,24
2021-11-24T20_32_29,10
2021-11-24T20_47_29,12
2021-11-24T21_02_29,13
2021-11-24T21_17_29,14
2021-11-24T21_32_29,11
2021-11-24T21_47_29,9
2021-11-24T22_02_29,8
2021-11-24T22_17_29,7
2021-11-24T22_32_29,9
2021-11-24T22_47_29,8
2021-11-24T23_02_29,7
