Timestamp,Count (t=30),Count (t=40),Count (t=50),Count (t=60),Count (t=70)
2022_10_19T16_59_31,23,13,6,4,3
2022_10_19T16_59_57,25,11,7,4,3
2022_10_19T17_14_57,17,8,3,3,2
2022_10_19T17_29_57,22,10,7,3,3
2022_10_19T17_44_57,23,11,5,4,2
2022_10_19T17_59_57,25,14,9,3,3
2022_10_19T18_14_57,47,22,14,7,3
2022_10_19T18_29_57,66,44,30,14,9
2022_10_19T18_44_57,112,66,48,32,19
2022_10_19T18_59_57,142,90,53,31,16
2022_10_19T19_14_57,163,103,61,36,19
2022_10_19T19_29_57,171,104,58,33,17
2022_10_19T19_44_57,178,108,64,26,13
2022_10_19T19_59_57,178,100,54,26,8
2022_10_19T20_14_57,173,100,48,22,11
2022_10_19T20_29_57,175,82,45,18,7
2022_10_19T20_44_57,128,69,35,16,3
2022_10_19T20_59_57,102,62,35,13,2
2022_10_19T21_14_57,73,35,19,7,3
2022_10_19T21_29_57,51,26,12,5,4
2022_10_19T21_44_57,34,17,10,4,1
2022_10_19T21_59_57,14,6,3,1,0
2022_10_19T22_14_57,7,4,2,1,0
2022_10_19T22_29_57,5,4,3,0,0
2022_10_19T22_44_57,3,1,1,0,0
2022_10_19T22_59_57,1,0,0,0,0
2022_10_19T23_14_57,4,1,0,0,0
2022_10_19T23_29_57,4,1,0,0,0
2022_10_19T23_44_57,5,0,0,0,0
2022_10_19T23_59_57,1,1,0,0,0
2022_10_20T00_14_57,2,0,0,0,0
2022_10_20T00_29_57,0,0,0,0,0
2022_10_20T00_44_57,0,0,0,0,0
2022_10_20T00_59_57,0,0,0,0,0
2022_10_20T01_14_57,0,0,0,0,0
2022_10_20T01_29_57,0,0,0,0,0
2022_10_20T01_44_57,0,0,0,0,0
2022_10_20T01_59_57,0,0,0,0,0
2022_10_20T02_14_57,2,0,0,0,0
2022_10_20T02_29_57,1,1,0,0,0
2022_10_20T02_44_57,1,0,0,0,0
2022_10_20T02_59_57,0,0,0,0,0
2022_10_20T03_14_57,0,0,0,0,0
2022_10_20T03_29_57,2,0,0,0,0
2022_10_20T03_44_57,1,1,0,0,0
2022_10_20T03_59_57,0,0,0,0,0
2022_10_20T04_14_57,2,0,0,0,0
2022_10_20T04_29_57,1,1,0,0,0
2022_10_20T04_44_57,0,0,0,0,0
2022_10_20T04_59_57,0,0,0,0,0
2022_10_20T05_14_57,0,0,0,0,0
2022_10_20T05_29_57,2,1,0,0,0
2022_10_20T05_44_57,1,1,0,0,0
2022_10_20T05_59_57,2,0,0,0,0
2022_10_20T06_14_56,6,2,0,0,0
2022_10_20T06_29_56,6,3,0,0,0
2022_10_20T06_44_56,11,3,1,0,0
2022_10_20T06_59_56,10,4,0,0,0
2022_10_20T07_14_56,7,4,2,0,0
2022_10_20T07_29_56,7,3,1,0,0
2022_10_20T07_44_56,8,1,0,0,0
2022_10_20T07_59_56,10,2,0,0,0
2022_10_20T08_14_56,10,3,0,0,0
2022_10_20T08_29_56,11,4,0,0,0
2022_10_20T08_44_56,8,1,0,0,0
2022_10_20T08_59_56,11,3,1,0,0
2022_10_20T09_14_56,24,10,2,1,0
2022_10_20T09_29_56,17,4,0,0,0
2022_10_20T09_44_56,43,19,11,2,0
2022_10_20T09_59_56,40,19,12,4,0
2022_10_20T10_14_56,48,19,8,2,0
2022_10_20T10_29_56,43,27,11,5,2
2022_10_20T10_44_56,46,23,11,3,1
2022_10_20T10_59_56,36,17,6,3,0
2022_10_20T11_14_56,36,23,8,1,0
2022_10_20T11_29_56,38,17,5,0,0
2022_10_20T11_44_56,19,12,4,2,0
2022_10_20T11_59_56,20,13,6,2,0
2022_10_20T12_14_56,18,15,7,2,0
2022_10_20T12_29_56,20,15,5,1,0
2022_10_20T12_44_56,18,14,7,4,0
2022_10_20T12_59_56,22,16,7,1,0
2022_10_20T13_14_56,24,20,6,2,0
2022_10_20T13_29_56,19,13,5,2,0
2022_10_20T13_44_56,23,16,8,2,0
2022_10_20T13_59_56,19,14,5,0,0
2022_10_20T14_14_56,17,12,5,3,1
2022_10_20T14_29_56,18,13,8,4,1
2022_10_20T14_44_56,17,11,7,5,1
2022_10_20T14_59_56,20,14,6,3,1
2022_10_20T15_14_56,17,8,5,3,1
2022_10_20T15_29_56,22,9,4,4,2
2022_10_20T15_44_56,43,23,12,7,4
2022_10_20T15_59_56,48,21,7,2,1
2022_10_20T16_14_56,45,30,16,7,1
2022_10_20T16_29_56,39,17,8,5,3
2022_10_20T16_44_56,30,19,6,4,2
2022_10_20T16_59_56,20,11,5,4,2
2022_10_20T17_14_56,21,4,2,2,1
2022_10_20T17_29_56,19,11,3,3,2
2022_10_20T17_44_56,28,11,2,2,1
2022_10_20T17_59_56,34,9,2,2,1
2022_10_20T18_14_56,48,22,7,5,1
2022_10_20T18_29_56,72,47,25,15,9
2022_10_20T18_44_56,102,62,39,27,14
2022_10_20T18_59_56,131,73,49,29,14
2022_10_20T19_14_56,158,107,68,37,16
