X pos,Y pos,Time (ms)
7254,523,458
7237,510,458
6814,585,583
6844,623,583
271,446,750
238,483,750
6813,586,750
6843,624,750
4456,188,958
4442,194,958
3695,149,1000
3680,157,1000
4439,193,1042
4466,188,1042
236,490,1125
196,488,1125
475,692,1125
451,690,1125
6835,624,1167
6804,587,1167
6809,588,1542
6801,586,1542
231,445,1708
246,483,1708
6537,516,1792
6516,472,1792
244,482,1875
225,444,1875
6538,514,1917
6517,469,1917
281,484,2000
241,478,2000
283,484,2042
245,479,2042
6801,581,2167
6820,581,2167
242,475,2375
242,477,2417
7376,653,3792
7332,648,3792
7331,652,4042
7374,662,4042
6824,536,4083
6817,560,4083
371,483,4208
342,515,4208
4473,214,4292
4493,192,4292
4069,161,4375
4085,186,4375
4473,216,4625
4486,192,4625
4477,217,4792
4506,196,4792
396,534,4917
374,534,4917
4513,195,4958
4481,217,4958
397,533,4958
414,540,4958
6802,532,5000
6801,561,5000
4483,217,5000
4512,196,5000
4103,152,5125
4092,186,5125
411,522,5208
410,483,5208
407,522,5333
389,484,5333
5268,286,5375
5224,292,5375
7376,665,5417
7335,651,5417
4065,160,5417
4101,187,5417
4065,161,5458
4100,187,5458
389,483,5458
412,521,5458
7335,651,5583
7371,665,5583
6839,525,5792
6833,563,5792
389,480,5958
408,518,5958
7325,650,5958
7365,663,5958
7328,650,6000
7365,663,6000
4064,160,6042
4104,151,6042
4065,160,6083
4104,151,6083
4104,150,6208
4063,159,6250
5323,270,6458
5322,271,6500
5320,263,6500
5329,275,6500
5322,271,6542
5320,263,6542
5321,271,6583
5319,263,6583
5320,271,6625
5328,276,6625
5321,272,6708
5328,275,6708
5317,304,7292
5329,270,7292
5330,270,7375
5328,271,7417
5335,276,7417
5330,270,7417
7363,634,7500
7384,659,7500
321,667,7625
353,658,7625
4316,186,7750
4307,160,7750
3847,116,7792
3826,144,7792
3879,123,8250
3842,146,8250
4357,179,8333
4309,189,8333
449,336,8375
418,354,8375
4426,190,8417
4444,146,8417
3879,124,8583
3837,146,8583
448,337,8625
418,353,8625
3837,146,8625
3878,124,8625
446,337,8667
418,353,8667
3826,145,8667
3836,146,8667
4453,207,8708
4423,190,8708
6608,567,8708
