X pos,Y pos,Time (ms)
3066,158,0
4442,203,0
5322,279,0
4682,220,0
2862,290,0
4575,161,0
3883,139,0
4114,154,0
6279,467,0
4383,168,0
4348,143,0
1642,228,0
4434,184,0
2223,171,0
4557,130,0
5363,350,0
4237,158,0
7549,738,0
4643,172,0
3928,233,0
6981,562,0
7215,629,0
4091,167,0
5343,280,0
7439,734,0
5443,393,0
3286,154,0
4097,236,0
4296,237,0
1554,230,0
3717,194,0
4753,311,0
7736,715,0
5244,382,0
2642,185,0
1322,222,42
1958,202,42
4090,183,42
413,346,42
760,446,42
1105,310,42
2272,213,42
1725,214,42
703,682,42
2465,157,42
3081,189,42
742,526,42
1969,222,42
3171,174,42
1089,270,42
2840,191,42
7723,703,42
1907,200,42
2540,154,42
2968,143,42
1765,220,42
7473,666,42
612,569,42
4063,160,42
2680,199,42
6840,524,42
5133,317,42
2818,203,42
2237,295,42
1228,233,42
4636,283,42
1175,307,42
5329,276,42
820,417,42
1989,173,42
3787,184,42
745,457,42
1185,253,42
5386,391,42
945,305,42
570,670,42
2933,146,42
4103,151,42
1385,271,42
637,708,42
855,614,42
6445,466,42
3510,126,42
650,540,42
2012,202,42
2373,308,42
1923,312,42
1452,243,42
740,414,42
2216,302,42
3222,163,42
1438,253,42
2880,173,42
3102,190,42
1028,356,42
4538,195,42
686,563,42
3025,160,42
1147,266,42
728,675,42
1530,199,125
3105,122,125
3546,138,125
5363,370,125
3386,86,125
2301,141,125
4156,179,125
277,445,125
1649,111,125
1475,198,125
4157,130,125
1381,194,125
539,267,125
1507,162,125
3499,119,125
4721,222,125
1519,150,125
5728,382,125
1849,114,125
3966,98,125
1511,172,125
602,262,125
320,396,125
854,256,125
5011,277,125
515,219,125
1840,94,125
323,367,125
4882,234,125
2038,117,125
4930,247,125
3484,127,125
4102,129,125
4295,126,125
1303,246,125
4267,185,125
5620,316,125
3702,152,125
981,235,125
4438,128,125
1685,102,125
1996,55,125
5887,378,125
3126,124,125
4344,184,125
4352,116,125
4097,169,125
1267,171,125
5505,372,125
3354,126,125
5577,318,125
4231,180,125
2118,70,125
5253,323,125
5563,341,125
3941,133,125
1903,135,125
368,377,125
5446,208,125
3538,121,125
3355,97,125
306,357,125
4466,178,125
4923,255,125
2217,122,125
1309,110,125
1407,200,125
803,266,125
1427,187,125
1290,129,125
533,392,125
4266,147,125
5695,359,125
1333,161,125
2283,155,125
931,246,125
1397,133,125
1111,161,125
4908,279,125
1452,167,125
1229,193,125
1255,179,125
1400,160,125
1471,146,125
4421,185,125
1381,245,125
1880,132,125
2219,72,125
4386,170,125
3521,126,167
7389,578,167
4125,166,167
4458,188,167
5054,270,167
5328,269,167
4328,151,167
4200,162,167
653,420,167
473,509,167
3974,152,167
513,427,167
4778,126,167
5258,363,167
6364,407,167
4264,166,167
552,433,167
480,551,167
6874,581,167
413,515,167
545,385,167
3106,285,167
392,473,167
2635,282,167
7341,649,167
4053,107,167
4324,189,167
7249,618,167
6196,474,167
7310,601,167
4054,161,167
2574,289,167
762,507,167
1926,310,167
6201,475,167
6575,619,167
3986,158,250
3299,84,250
5035,172,250
4282,180,250
5301,279,250
4464,195,250
477,737,250
949,268,250
2166,199,250
2916,194,250
7650,714,250
1779,192,250
637,200,250
3229,122,250
5209,374,250
1438,255,250
2939,126,250
3809,133,250
4166,156,250
4642,160,250
4828,221,250
3758,133,250
2869,209,250
2114,186,250
3415,88,250
2040,217,250
901,549,250
890,305,250
5307,328,250
1367,245,250
5570,372,250
2741,236,250
3272,191,250
6343,523,250
4487,208,250
7176,607,250
1610,219,250
1411,289,250
3306,187,250
5803,396,250
2644,277,250
6482,228,250
2054,211,250
4392,218,292
2118,150,292
4023,162,292
5059,332,292
5335,291,292
4515,223,292
4484,154,292
233,503,292
4625,153,292
4554,229,292
273,568,292
4534,239,292
6820,610,292
4353,169,292
2214,307,292
7628,719,292
7264,614,292
362,695,292
4421,160,292
4446,188,292
6236,375,292
7816,714,292
7645,713,292
6024,444,292
1385,244,292
457,548,292
7132,732,292
6941,562,292
4777,270,292
813,572,292
4090,170,292
402,547,292
461,586,292
6306,481,292
4462,197,292
617,470,292
7485,642,292
7529,639,292
4031,161,333
5335,276,333
4031,147,333
982,299,333
6349,338,333
3632,247,333
4438,204,333
2218,305,333
4395,169,333
5330,274,375
4169,155,375
4096,110,375
4291,149,375
530,383,375
4150,164,375
5430,380,375
4322,178,375
6223,372,375
4267,163,375
4477,195,375
7123,579,375
4121,175,375
7659,556,375
4494,204,375
7404,683,375
5035,302,375
7364,649,375
3106,290,375
4055,112,375
203,693,375
6338,508,375
414,515,375
7302,602,375
6958,601,375
1925,314,375
404,436,375
5425,390,417
5327,282,417
4295,158,417
4138,182,417
4107,157,417
4035,163,417
7204,644,417
4151,169,417
3887,150,417
4499,211,417
4074,114,417
4175,182,417
4307,186,417
6812,578,417
7730,542,417
7117,587,417
4467,200,417
472,568,417
5080,288,417
7331,649,417
6280,482,417
472,602,417
7395,693,417
4051,120,417
7292,608,417
411,526,417
1923,314,417
3104,290,417
4042,191,417
2635,287,417
7742,694,458
4373,190,458
4750,152,458
1963,142,458
848,288,458
6135,450,458
4891,172,458
401,404,458
6270,403,458
5048,295,458
3567,125,458
